// Validating benchmarks:
// ***** BenchmarkRunner: Start   *****
// ***** Found 15 benchmark(s) in total *****
// ***** Building 1 exe(s) in Parallel: Start   *****
Unable to find .sln or .csproj file. Will use current directory D:\HierarchyKit to search for project file. If you don't use .sln file on purpose it should not be a problem.
// start dotnet  restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\obj\Release\net10.0/" /p:OutDir="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" /p:OutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7
// command took 0.73 sec and exited with 0
// start dotnet  build -c Release --no-restore /p:UseSharedCompilation=false /p:BuildInParallel=false /m:1 /p:Deterministic=true /p:Optimize=true /p:IntermediateOutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\obj\Release\net10.0/" /p:OutDir="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" /p:OutputPath="D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" --output "D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0/" in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7
// command took 3.99 sec and exited with 0
// ***** Done, took 00:00:04 (4.78 sec)   *****
// Found 15 benchmarks:
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
//   HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Move: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Remove: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.GetChildren: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]
//   HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=5000]

Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 2056 2144 --benchmarkName "HierarchyBenchmarks.Add(NodeCount: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 0 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-HOTHSI(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 175000.00 ns, 175.0000 us/op
WorkloadResult  38: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  39: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  40: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  41: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  42: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  43: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  44: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  45: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  46: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  47: 1 op, 2000.00 ns, 2.0000 us/op
WorkloadResult  48: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  49: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  50: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  51: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  52: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  53: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  54: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  55: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  56: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  57: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  58: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  59: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  60: 1 op, 2100.00 ns, 2.1000 us/op
WorkloadResult  61: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  62: 1 op, 2200.00 ns, 2.2000 us/op
WorkloadResult  63: 1 op, 2400.00 ns, 2.4000 us/op
WorkloadResult  64: 1 op, 2300.00 ns, 2.3000 us/op
WorkloadResult  65: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  66: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  67: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  68: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  69: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  70: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  71: 1 op, 2500.00 ns, 2.5000 us/op
WorkloadResult  72: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  73: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  74: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  75: 1 op, 2900.00 ns, 2.9000 us/op
WorkloadResult  76: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  77: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  78: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  79: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  80: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  81: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  82: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  83: 1 op, 2600.00 ns, 2.6000 us/op
WorkloadResult  84: 1 op, 3000.00 ns, 3.0000 us/op
WorkloadResult  85: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  86: 1 op, 2800.00 ns, 2.8000 us/op
WorkloadResult  87: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  88: 1 op, 2700.00 ns, 2.7000 us/op
WorkloadResult  89: 1 op, 2600.00 ns, 2.6000 us/op
// GC:  0 0 0 1392 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 33192 has exited with code 0.

Mean = 2.456 μs, StdErr = 0.025 μs (1.03%), N = 89, StdDev = 0.238 μs
Min = 2.000 μs, Q1 = 2.300 μs, Median = 2.400 μs, Q3 = 2.600 μs, Max = 3.100 μs
IQR = 0.300 μs, LowerFence = 1.850 μs, UpperFence = 3.050 μs
ConfidenceInterval = [2.370 μs; 2.542 μs] (CI 99.9%), Margin = 0.086 μs (3.50% of Mean)
Skewness = 0.38, Kurtosis = 2.46, MValue = 5.8

// ** Remained 11 (73,3%) benchmark(s) to run. Estimated finish 2026-09-11 16:11 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.Descendants: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=100]
// *** Execute ***
// Launch: 1 / 1
// Execute: dotnet f708123d-25c8-4862-a51c-d2fd081c87d7.dll --anonymousPipes 2184 2248 --benchmarkName "HierarchyBenchmarks.Descendants(NodeCount: 100)" --job "InvocationCount=1, UnrollFactor=1" --benchmarkId 4 in D:\HierarchyKit\benchmarks\HierarchyKit.Benchmarks\bin\Release\net10.0\f708123d-25c8-4862-a51c-d2fd081c87d7\bin\Release\net10.0
// BeforeAnythingElse

// Benchmark Process Environment Information:
// BenchmarkDotNet v0.14.0
// Runtime=.NET 10.0.12 (10.0.1226.42308), X64 RyuJIT AVX2
// GC=Non-concurrent Workstation
// HardwareIntrinsics=AVX2,AES,BMI1,BMI2,FMA,LZCNT,PCLMUL,POPCNT,AvxVnni,SERIALIZE VectorSize=256
// Job: Job-DHKHFM(InvocationCount=1, UnrollFactor=1)

OverheadJitting  1: 1 op, 179000.00 ns, 179.0000 us/op
WorkloadJitting  1: 1 op, 2411400.00 ns, 2.4114 ms/op

OverheadWarmup   1: 1 op, 300.00 ns, 300.0000 ns/op
OverheadWarmup   2: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   3: 1 op, 200.00 ns, 200.0000 ns/op
OverheadWarmup   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   5: 1 op, 100.00 ns, 100.0000 ns/op
OverheadWarmup   6: 1 op, 100.00 ns, 100.0000 ns/op

OverheadActual   1: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   2: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   3: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   4: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   5: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual   6: 1 op, 0.00 ns, 0.0000 ns/op
OverheadActual   7: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   8: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual   9: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  10: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  11: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  12: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  13: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  14: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  15: 1 op, 0.00 ns, 0.0000 ns/op
OverheadActual  16: 1 op, 0.00 ns, 0.0000 ns/op
OverheadActual  17: 1 op, 0.00 ns, 0.0000 ns/op
OverheadActual  18: 1 op, 200.00 ns, 200.0000 ns/op
OverheadActual  19: 1 op, 100.00 ns, 100.0000 ns/op
OverheadActual  20: 1 op, 100.00 ns, 100.0000 ns/op

WorkloadWarmup   1: 1 op, 25800.00 ns, 25.8000 us/op
WorkloadWarmup   2: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadWarmup   3: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadWarmup   4: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadWarmup   5: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadWarmup   6: 1 op, 16400.00 ns, 16.4000 us/op
WorkloadWarmup   7: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadWarmup   8: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadWarmup   9: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadWarmup  10: 1 op, 14000.00 ns, 14.0000 us/op

// BeforeActualRun
WorkloadActual   1: 1 op, 19500.00 ns, 19.5000 us/op
WorkloadActual   2: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual   3: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadActual   4: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual   5: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadActual   6: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadActual   7: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadActual   8: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadActual   9: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual  10: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadActual  11: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadActual  12: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  13: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  14: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadActual  15: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadActual  16: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  17: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadActual  18: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual  19: 1 op, 13500.00 ns, 13.5000 us/op
WorkloadActual  20: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  21: 1 op, 15200.00 ns, 15.2000 us/op
WorkloadActual  22: 1 op, 11800.00 ns, 11.8000 us/op
WorkloadActual  23: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadActual  24: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadActual  25: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadActual  26: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadActual  27: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual  28: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  29: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  30: 1 op, 18000.00 ns, 18.0000 us/op
WorkloadActual  31: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadActual  32: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  33: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadActual  34: 1 op, 14400.00 ns, 14.4000 us/op
WorkloadActual  35: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadActual  36: 1 op, 12500.00 ns, 12.5000 us/op
WorkloadActual  37: 1 op, 15800.00 ns, 15.8000 us/op
WorkloadActual  38: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual  39: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadActual  40: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  41: 1 op, 15500.00 ns, 15.5000 us/op
WorkloadActual  42: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadActual  43: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  44: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  45: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadActual  46: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual  47: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadActual  48: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadActual  49: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  50: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  51: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadActual  52: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadActual  53: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadActual  54: 1 op, 15200.00 ns, 15.2000 us/op
WorkloadActual  55: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadActual  56: 1 op, 12000.00 ns, 12.0000 us/op
WorkloadActual  57: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadActual  58: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadActual  59: 1 op, 12700.00 ns, 12.7000 us/op
WorkloadActual  60: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  61: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadActual  62: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadActual  63: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadActual  64: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadActual  65: 1 op, 17100.00 ns, 17.1000 us/op
WorkloadActual  66: 1 op, 18700.00 ns, 18.7000 us/op
WorkloadActual  67: 1 op, 14400.00 ns, 14.4000 us/op
WorkloadActual  68: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  69: 1 op, 14400.00 ns, 14.4000 us/op
WorkloadActual  70: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadActual  71: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadActual  72: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadActual  73: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadActual  74: 1 op, 14400.00 ns, 14.4000 us/op
WorkloadActual  75: 1 op, 14100.00 ns, 14.1000 us/op
WorkloadActual  76: 1 op, 14500.00 ns, 14.5000 us/op
WorkloadActual  77: 1 op, 14100.00 ns, 14.1000 us/op
WorkloadActual  78: 1 op, 14400.00 ns, 14.4000 us/op
WorkloadActual  79: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadActual  80: 1 op, 16600.00 ns, 16.6000 us/op
WorkloadActual  81: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadActual  82: 1 op, 14500.00 ns, 14.5000 us/op
WorkloadActual  83: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadActual  84: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadActual  85: 1 op, 13900.00 ns, 13.9000 us/op
WorkloadActual  86: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadActual  87: 1 op, 17600.00 ns, 17.6000 us/op
WorkloadActual  88: 1 op, 16400.00 ns, 16.4000 us/op
WorkloadActual  89: 1 op, 21300.00 ns, 21.3000 us/op
WorkloadActual  90: 1 op, 15400.00 ns, 15.4000 us/op
WorkloadActual  91: 1 op, 15300.00 ns, 15.3000 us/op
WorkloadActual  92: 1 op, 20400.00 ns, 20.4000 us/op
WorkloadActual  93: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadActual  94: 1 op, 14900.00 ns, 14.9000 us/op
WorkloadActual  95: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadActual  96: 1 op, 16400.00 ns, 16.4000 us/op
WorkloadActual  97: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadActual  98: 1 op, 15200.00 ns, 15.2000 us/op
WorkloadActual  99: 1 op, 14600.00 ns, 14.6000 us/op
WorkloadActual  100: 1 op, 20300.00 ns, 20.3000 us/op

// AfterActualRun
WorkloadResult   1: 1 op, 19400.00 ns, 19.4000 us/op
WorkloadResult   2: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult   3: 1 op, 14100.00 ns, 14.1000 us/op
WorkloadResult   4: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult   5: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadResult   6: 1 op, 14600.00 ns, 14.6000 us/op
WorkloadResult   7: 1 op, 14600.00 ns, 14.6000 us/op
WorkloadResult   8: 1 op, 11500.00 ns, 11.5000 us/op
WorkloadResult   9: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadResult  10: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadResult  11: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadResult  12: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  13: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  14: 1 op, 10800.00 ns, 10.8000 us/op
WorkloadResult  15: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  16: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  17: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadResult  18: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadResult  19: 1 op, 13400.00 ns, 13.4000 us/op
WorkloadResult  20: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  21: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadResult  22: 1 op, 11700.00 ns, 11.7000 us/op
WorkloadResult  23: 1 op, 15000.00 ns, 15.0000 us/op
WorkloadResult  24: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadResult  25: 1 op, 16800.00 ns, 16.8000 us/op
WorkloadResult  26: 1 op, 11600.00 ns, 11.6000 us/op
WorkloadResult  27: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  28: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  29: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  30: 1 op, 17900.00 ns, 17.9000 us/op
WorkloadResult  31: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadResult  32: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  33: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadResult  34: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadResult  35: 1 op, 11100.00 ns, 11.1000 us/op
WorkloadResult  36: 1 op, 12400.00 ns, 12.4000 us/op
WorkloadResult  37: 1 op, 15700.00 ns, 15.7000 us/op
WorkloadResult  38: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadResult  39: 1 op, 11200.00 ns, 11.2000 us/op
WorkloadResult  40: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  41: 1 op, 15400.00 ns, 15.4000 us/op
WorkloadResult  42: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadResult  43: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadResult  44: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadResult  45: 1 op, 17700.00 ns, 17.7000 us/op
WorkloadResult  46: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadResult  47: 1 op, 16900.00 ns, 16.9000 us/op
WorkloadResult  48: 1 op, 12300.00 ns, 12.3000 us/op
WorkloadResult  49: 1 op, 12600.00 ns, 12.6000 us/op
WorkloadResult  50: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  51: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  52: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadResult  53: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadResult  54: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadResult  55: 1 op, 12200.00 ns, 12.2000 us/op
WorkloadResult  56: 1 op, 11900.00 ns, 11.9000 us/op
WorkloadResult  57: 1 op, 11300.00 ns, 11.3000 us/op
WorkloadResult  58: 1 op, 10900.00 ns, 10.9000 us/op
WorkloadResult  59: 1 op, 12600.00 ns, 12.6000 us/op
WorkloadResult  60: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  61: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  62: 1 op, 16200.00 ns, 16.2000 us/op
WorkloadResult  63: 1 op, 12100.00 ns, 12.1000 us/op
WorkloadResult  64: 1 op, 11000.00 ns, 11.0000 us/op
WorkloadResult  65: 1 op, 17000.00 ns, 17.0000 us/op
WorkloadResult  66: 1 op, 18600.00 ns, 18.6000 us/op
WorkloadResult  67: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadResult  68: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  69: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadResult  70: 1 op, 11400.00 ns, 11.4000 us/op
WorkloadResult  71: 1 op, 17800.00 ns, 17.8000 us/op
WorkloadResult  72: 1 op, 14200.00 ns, 14.2000 us/op
WorkloadResult  73: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadResult  74: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadResult  75: 1 op, 14000.00 ns, 14.0000 us/op
WorkloadResult  76: 1 op, 14400.00 ns, 14.4000 us/op
WorkloadResult  77: 1 op, 14000.00 ns, 14.0000 us/op
WorkloadResult  78: 1 op, 14300.00 ns, 14.3000 us/op
WorkloadResult  79: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadResult  80: 1 op, 16500.00 ns, 16.5000 us/op
WorkloadResult  81: 1 op, 14600.00 ns, 14.6000 us/op
WorkloadResult  82: 1 op, 14400.00 ns, 14.4000 us/op
WorkloadResult  83: 1 op, 17300.00 ns, 17.3000 us/op
WorkloadResult  84: 1 op, 14700.00 ns, 14.7000 us/op
WorkloadResult  85: 1 op, 13800.00 ns, 13.8000 us/op
WorkloadResult  86: 1 op, 21100.00 ns, 21.1000 us/op
WorkloadResult  87: 1 op, 17500.00 ns, 17.5000 us/op
WorkloadResult  88: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadResult  89: 1 op, 21200.00 ns, 21.2000 us/op
WorkloadResult  90: 1 op, 15300.00 ns, 15.3000 us/op
WorkloadResult  91: 1 op, 15200.00 ns, 15.2000 us/op
WorkloadResult  92: 1 op, 20300.00 ns, 20.3000 us/op
WorkloadResult  93: 1 op, 18400.00 ns, 18.4000 us/op
WorkloadResult  94: 1 op, 14800.00 ns, 14.8000 us/op
WorkloadResult  95: 1 op, 18500.00 ns, 18.5000 us/op
WorkloadResult  96: 1 op, 16300.00 ns, 16.3000 us/op
WorkloadResult  97: 1 op, 17400.00 ns, 17.4000 us/op
WorkloadResult  98: 1 op, 15100.00 ns, 15.1000 us/op
WorkloadResult  99: 1 op, 14500.00 ns, 14.5000 us/op
WorkloadResult  100: 1 op, 20200.00 ns, 20.2000 us/op
// GC:  0 0 0 3696 1
// Threading:  0 0 1

// AfterAll
// Benchmark Process 30332 has exited with code 0.

Mean = 14.342 μs, StdErr = 0.283 μs (1.97%), N = 100, StdDev = 2.827 μs
Min = 10.800 μs, Q1 = 11.575 μs, Median = 14.300 μs, Q3 = 16.575 μs, Max = 21.200 μs
IQR = 5.000 μs, LowerFence = 4.075 μs, UpperFence = 24.075 μs
ConfidenceInterval = [13.383 μs; 15.301 μs] (CI 99.9%), Margin = 0.959 μs (6.69% of Mean)
Skewness = 0.5, Kurtosis = 2.23, MValue = 4.26

// ** Remained 10 (66,7%) benchmark(s) to run. Estimated finish 2026-09-11 16:11 (0h 0m from now) **
Setup power plan (GUID: 8c5e7fda-e8bf-4a96-9a85-a6e23a8c635c FriendlyName: High performance)
// **************************
// Benchmark: HierarchyBenchmarks.Add: Job-DRRRRQ(InvocationCount=1, UnrollFactor=1) [NodeCount=1000]
// *** Execute ***
// Launch: 1 / 1
